1029NOW,2015-04-09 06:30:01 +0000 UTC," Timbaland / OneRepublic",Apologize
1029NOW,2015-04-09 06:30:01 +0000 UTC," Maroon 5",Sugar
1029NOW,2015-04-09 06:30:01 +0000 UTC," Cee Lo Green",Forget You
1029NOW,2015-04-09 06:30:01 +0000 UTC," Taylor Swift",Style
1029NOW,2015-04-09 06:30:01 +0000 UTC," Alanis Morissette",You Learn
1029NOW,2015-04-09 06:30:01 +0000 UTC," Goo Goo Dolls",Slide
1029NOW,2015-04-09 06:30:01 +0000 UTC," Katy Perry",Roar
1029NOW,2015-04-09 06:30:01 +0000 UTC," OneRepublic",Counting Stars
1029NOW,2015-04-09 06:30:01 +0000 UTC," Meghan Trainor",Lips Are Movin
1029NOW,2015-04-09 06:30:01 +0000 UTC," Maroon 5",Daylight
1029NOW,2015-04-09 06:40:01 +0000 UTC," David Guetta / Usher",Without You
1029NOW,2015-04-09 06:40:01 +0000 UTC," Paramore",Still Into You
1029NOW,2015-04-09 06:40:01 +0000 UTC," Coldplay",Paradise /
1029NOW,2015-04-09 06:40:01 +0000 UTC," Gnarls Barkley",Crazy
1029NOW,2015-04-09 06:40:01 +0000 UTC," Rob Thomas",Lonely No More
1029NOW,2015-04-09 06:40:01 +0000 UTC," Ed Sheeran",Thinking Out Loud
1029NOW,2015-04-09 06:40:01 +0000 UTC," Weeknd",Earned It
1029NOW,2015-04-09 06:40:01 +0000 UTC," Foster The People",Pumped Up Kicks
1029NOW,2015-04-09 06:40:01 +0000 UTC," Rachel Platten",Fight Song
1029NOW,2015-04-09 06:40:01 +0000 UTC," Ellie Goulding",Love Me Like You Do
1029NOW,2015-04-09 07:00:01 +0000 UTC," Christina Perri",A Thousand Years
1029NOW,2015-04-09 07:00:01 +0000 UTC," Edwin McCain",I'll Be
1029NOW,2015-04-09 07:00:01 +0000 UTC," Alanis Morissette",Hand In My Pocket
1029NOW,2015-04-09 07:20:01 +0000 UTC," Ed Sheeran",The A Team
1029NOW,2015-04-09 07:20:01 +0000 UTC," Icona Pop / Charli XCX",I Love It
1029NOW,2015-04-09 07:20:01 +0000 UTC," Fitz & The Tantrums",Out Of My League
1029NOW,2015-04-09 07:30:01 +0000 UTC," R.E.M.",Losing My Religion
1029NOW,2015-04-09 07:40:01 +0000 UTC," Puff Daddy / Faith Evans / 112",I'll Be Missing You
1029NOW,2015-04-09 07:50:01 +0000 UTC," Rachel Platten",Fight Song
1029NOW,2015-04-09 08:00:01 +0000 UTC," Donna Lewis",I Love You Always Forever
1029NOW,2015-04-09 08:00:01 +0000 UTC," Uncle Kracker / Dobie Gray",Drift Away
1029NOW,2015-04-09 08:10:01 +0000 UTC," Gnarls Barkley",Crazy
1029NOW,2015-04-09 08:20:01 +0000 UTC," Depeche Mode",Enjoy The Silence
1029NOW,2015-04-09 08:20:01 +0000 UTC," B.O.B. / Hayley Williams",Airplanes /
1029NOW,2015-04-09 08:30:01 +0000 UTC," Jason Derulo",Want To Want Me
1029NOW,2015-04-09 08:40:01 +0000 UTC," Estelle / Kanye West",American Boy //
1029NOW,2015-04-09 08:40:01 +0000 UTC," Fun.",We Are Young
1029NOW,2015-04-09 08:50:01 +0000 UTC," Christina Perri",Jar Of Hearts
